Funding_Amount,Employees,Revenue,Market_Growth_Rate,Success
246769,375,5816466,1.8896741353845667,0
2708505,475,5754588,1.5823948261269156,1
1321741,147,5314509,0.5721419659461315,1
3819315,96,7678216,1.6722717226271224,1
1096797,358,4959499,1.741911330766238,1
3097262,326,2397312,1.6257528871479703,1
1634398,292,3703976,1.6993056963792734,1
2635031,219,6072903,1.7376990150391958,1
614685,451,4418224,0.7796074801822162,0
2929190,346,4045493,0.8535376190974997,1
1361736,55,9824149,1.4506378455802658,1
1057293,157,5713737,1.861799195693774,1
4824183,190,1881403,0.9742948734447419,1
3416612,67,5757372,1.382460013692585,1
73247,194,4858287,1.5244730951256986,0
2754238,129,5668796,1.1779229019485589,1
2680708,154,831052,1.570673682282989,0
3544679,318,2235300,1.8495011679382598,1
1817640,62,1865567,1.4361523162727563,1
2663740,346,1544837,1.3096715928719496,1
1335160,309,3348442,1.1581170130825087,1
1475472,184,4936203,1.3662294063591887,1
98984,174,433570,1.0330436777275938,0
2450070,330,2383139,1.0872231653022528,1
3315879,275,5231816,1.297786219532261,1
1554384,58,9256766,0.5999286685862255,1
2280919,495,2124792,0.8435380863871945,1
1802126,448,8451136,1.3142739659201133,1
4380634,105,1883421,1.147292214704664,1
1787095,485,6560670,0.9992236788687264,1
2161138,268,6091950,1.5958237052139521,1
4830450,57,6935877,1.5405764111050075,1
2159818,64,9815685,0.7500961399900747,1
2281785,496,5977106,1.8179436730601575,1
4533302,112,5128922,1.2431354396059484,1
2998089,9,7187545,1.612191366708568,0
2775928,107,5132783,1.359726273886083,1
3903339,200,5538983,1.996538923885765,1
1893400,266,170775,1.628604680058234,0
1129111,369,7359369,1.5604706918651885,1
1046107,484,2677867,1.6678579085761265,1
3571441,376,9961907,0.7146919783227044,1
4595583,354,6665623,0.806816889754195,1
1920230,51,7696841,1.5710961233354213,1
3797389,359,6988737,1.240972230696294,1
4192807,315,1354027,1.631952937790175,1
4733874,428,4176500,0.6543740461162175,1
3652279,312,7477048,1.3047220272268922,1
2171690,148,9189875,1.0682323483353735,1
3041650,273,7894479,1.1855003289225174,1
541234,374,507562,1.4059368081087689,0
1998260,128,4588238,1.2534325211937953,1
4383486,110,4047776,1.309790955669255,1
1571101,162,4020912,1.2295362229934117,1
4428368,151,4521732,1.11343276562824,1
4458324,149,5572067,1.6578229708973677,1
3186729,124,5247196,0.5183046084770668,1
947421,323,4895211,1.3976640518078405,0
172409,279,6136319,1.3482625209844608,0
2066716,96,1610396,1.5742686120994283,1
2400770,62,3321149,1.3985440471659898,1
819598,443,8521010,1.7401982417136175,0
3317824,350,9565196,1.9386121918460417,1
3381068,233,2506081,1.013786385767815,1
3306415,478,585278,0.8410264745449805,0
924371,121,5197480,1.1353952936307243,0
2882868,322,1188049,0.9318944247135892,1
3922998,283,3090201,1.4224253947289816,1
1023548,131,7146029,1.8677786132644472,1
3394014,397,3474442,0.7086742912145928,1
1263475,400,9673340,0.6511919045238297,1
3520495,133,3324692,0.8840232977804934,1
3009034,62,4729607,1.5891433790936011,1
4624293,126,6295088,1.3894443578882323,1
93585,5,1120389,0.6533189963377994,0
3107213,243,8426320,1.8781257833911198,1
2589448,294,3922942,1.6851269556861301,1
159556,100,8511424,0.5345339071814563,0
1625557,130,7478810,1.4770508164823692,1
4077419,122,1645156,1.656870002779607,1
4444539,52,8533838,1.061653054580633,1
2173091,93,5011045,0.6033823090508281,1
2059021,492,4473418,0.6159815982331809,1
1251482,241,9781802,0.6563704490777142,1
592335,377,4355760,1.7606594479706343,0
3483977,389,7163768,1.8660292973835695,1
4320070,276,3261298,0.6842161727686007,1
3610920,193,4475150,0.8538590518926218,1
2534413,491,8399012,0.7482807655509347,1
2957360,196,7259903,0.779481319241181,1
2832592,451,4907590,1.7562361835037381,1
2285000,73,6199573,0.9982196189824084,1
4372252,282,1333483,0.9671663960684618,1
452690,353,1732320,0.8410934313156689,0
4743350,251,2342517,1.4118415906913881,1
2598421,455,3206340,1.0689585475783232,1
4266263,80,8561881,1.6163744777649334,1
3856618,158,5397408,0.8083697125634562,1
2004109,148,5702493,1.6816848330717387,1
4472880,439,8257752,1.4055822975952084,1
3162754,489,1097341,0.6714009500835316,1
1434250,90,6205200,1.1217568763054415,1
4075717,189,3987266,1.7952772109194355,1
111087,289,5568956,1.8844403476977272,0
1546176,466,3041756,1.1985501834782197,1
1936013,224,853523,1.2212554671336102,0
4684096,73,8944845,1.8776820874089517,1
89353,51,4050479,1.3806023362048507,0
3410011,98,102193,0.5492700053651576,0
4309622,242,1196887,1.8691241943186934,1
466880,450,8906761,0.8723396641357278,0
863168,457,3344817,1.3664479311373208,0
275281,208,2725514,0.7482699761419607,0
3167697,404,2668571,0.5508187403698925,1
3832875,222,4844357,0.9672097566991361,1
3045765,478,7112173,1.6707435613191315,1
319536,436,4902472,0.9163807589441272,0
4422093,345,491680,0.8301458211216456,0
1611729,43,5175679,0.8190211765118394,1
2272809,104,6190142,1.2727605236102189,1
731669,293,5297118,1.9633119735241344,0
3914822,258,4110673,1.1884834820255197,1
1169043,226,1544026,1.335958053335072,1
3379462,361,8714434,1.7909480268361009,1
2256903,27,3477366,1.302604578400488,1
1791093,254,337359,0.7766943071282841,0
2608231,14,327537,0.9493938676497156,0
4350385,250,6963757,0.9649053894029164,1
3130389,329,560222,1.0959771731863968,0
1711909,104,4985026,1.1401833580051242,1
2706138,294,7805134,1.699673033111404,1
160078,184,2583619,1.0240804985739995,0
1965631,227,2463752,1.202347742662069,1
1454104,398,9762741,1.4374639805765783,1
2058187,254,7275760,1.066588921160254,1
1709066,151,1363038,1.7548472199384992,1
4223125,446,8649483,1.3811804063511115,1
2198815,100,4667693,0.9410670188314574,1
4074066,261,4274694,1.5710887996847425,1
4556259,329,717689,1.2914715952171787,0
4185314,497,1306516,1.3016838368858703,1
960681,8,9955225,1.221631922581379,0
1657618,20,3473351,1.2455179232318736,0
3946830,284,9663648,1.648034421599361,1
4386787,340,1864971,0.6544722189969733,1
2805423,251,9048807,1.0015442169657232,1
2083350,262,1859396,0.6132550457058339,1
2361987,480,2701276,1.6298693311211763,1
4646200,388,9027469,0.9084527820804491,1
4721399,164,2536954,1.8461456147283264,1
121295,479,6559546,1.2898676999889407,0
793974,344,8017407,1.7011246572291816,0
3495376,156,7395034,1.9683971534239417,1
3662600,400,7073410,1.759683289184856,1
875816,182,9060222,1.8004906400172853,0
424705,167,8011482,1.1119767430472671,0
3767270,384,9065605,1.3275838928890096,1
1906926,37,1082647,0.8808328460649564,1
1708845,421,1641107,0.7941696495401792,1
2076793,449,9427063,1.2582618186590506,1
604594,183,5116563,1.3925734695506309,0
197718,431,8244679,1.0089068688442864,0
4889567,105,6473768,1.3541652766452505,1
3554473,272,9704402,1.8311907237702545,1
2254664,327,5616594,1.335082377175049,1
4391747,69,1960367,1.5812196444657598,1
1569163,421,1920705,1.7079724510368577,1
4617920,172,1611596,1.9830931729331642,1
736976,334,3801481,1.4047961032654694,0
2522189,47,5133122,1.710275223443879,1
3191259,48,7767202,1.943973977832312,1
167796,289,6358564,1.9166145883659103,0
1291082,401,4160276,0.7116227731665703,1
4942680,16,5733601,1.109588462410283,0
4942306,99,5364075,0.9859850916601994,1
4164639,306,5289548,0.630387522425524,1
2738130,390,2392357,1.4498611623664408,1
3724515,257,7914069,1.6038569197940036,1
1629159,246,2255131,1.7721921432003254,1
957317,39,4256049,0.6841653344940628,0
2535367,219,8490473,1.8146661138129407,1
4565488,341,5465770,1.46438834542138,1
718234,94,1082200,1.5559192027077642,0
428480,268,2916158,1.865936005310456,0
841971,97,1232869,1.4371419065648765,0
551157,414,3135354,1.0037987857247526,0
4428727,462,9828159,1.7376609971339896,1
4174499,94,4792883,1.0445888182926357,1
2663501,422,6511632,0.5513421662307937,1
2971944,119,9312640,1.7459817598478746,1
4377576,109,3992588,1.0177882173219133,1
3133153,395,8093123,1.6607517848020104,1
2849487,200,9966046,1.044136841998918,1
2954941,318,6170686,1.7916020299620823,1
2150021,118,9316167,0.829265787621438,1
1410828,497,645605,1.961820897798305,0
668467,79,7489821,1.6696381621820462,0
2185619,417,4593897,0.6713568888805952,1
4005488,380,9213739,1.3486649299498408,1
4724351,424,7423718,1.978050968362602,1
1757923,221,77661,1.2065981790407216,0
178391,281,6869991,0.7731607082323748,0
1067026,253,7595153,1.2271675507255193,1
4351754,168,5924988,1.2686864838228824,1
2319042,398,6568221,1.6125304163429983,1
2033509,361,1317506,1.5482687797413566,1
166381,461,2911614,1.1038250653954709,0
1571701,412,2976422,0.8270346612411297,1
1670197,196,3718654,1.4675812516539941,1
2281660,231,7325436,1.1325559018299227,1
1828226,181,128033,0.6984143166879956,0
1249386,103,9028873,1.8508584518545785,1
3488618,40,5882354,1.5368327864144815,1
2064484,470,1225502,1.5247757846682222,1
2987629,491,9820404,1.733875813867511,1
2507184,100,2329049,1.2944925179826217,1
3193963,156,6302518,1.7225816426036857,1
4153022,155,7597768,1.2471361302665085,1
1468175,194,3730464,0.6007630998735651,1
3856688,228,2202614,1.1078721320415332,1
4974207,41,780173,1.246197340969836,0
3822962,272,5652264,1.5803038724484437,1
4241423,373,477010,0.6598680951930116,0
4091776,187,1665016,0.7100278079906734,1
2777423,17,4231038,0.8955257039519247,0
1810427,283,9322483,0.8997475900563233,1
4368427,221,8386430,1.5982768676885937,1
3501356,359,3890993,0.8760959908423966,1
1181565,365,2578103,1.4496470950361713,1
3494084,290,8479872,1.241410775207407,1
2977109,277,8421883,1.359941567269101,1
4422578,373,6492532,1.7571604447674436,1
2559079,66,5206467,1.1065722523235364,1
2937004,88,5962793,1.6563670655964058,1
1981760,372,8971343,1.133054089326031,1
181373,221,2010609,1.0308070648418741,0
165294,346,9311434,1.937940765969831,0
3182514,401,2707143,0.7765563810184448,1
